,Population,Hispanic_Latino,White,Black,Asian,Urban,NAME,state,county,Hispanic_Latino_share,White_share,Black_share,Asian_share
1966,46639,2741,27369,14159,419,0,Richmond County,37,153,0.05877055683012072,0.5868264756963056,0.30358712665365895,0.00898389759643217
1967,134168,10932,36160,32347,971,0,Robeson County,37,155,0.08147993560312444,0.2695128495617435,0.2410932562160873,0.007237195158308986
1968,93643,5159,68744,17529,423,0,Rockingham County,37,157,0.05509221191119464,0.7341071943444785,0.1871896457823863,0.004517155580235576
1969,138428,10644,101986,22153,1353,0,Rowan County,37,159,0.07689195827433756,0.7367440113271881,0.1600326523535701,0.009774034154939753
1970,67810,2397,57054,6804,289,0,Rutherford County,37,161,0.035348768618197905,0.8413803273853414,0.10033918301135526,0.004261908273116059
1971,63431,10440,33754,16948,217,0,Sampson County,37,163,0.16458829279059134,0.532137283031956,0.2671879680282512,0.0034210401853983067
1972,36157,754,16605,13884,276,0,Scotland County,37,165,0.02085350001382858,0.4592471720552037,0.38399203473739524,0.007633376662886855
1973,60585,2166,49877,6590,1108,0,Stanly County,37,167,0.03575142361970785,0.8232565816621276,0.10877279854749526,0.018288355203433193
1974,47401,1254,43447,1897,125,0,Stokes County,37,169,0.026455138077255753,0.916584038311428,0.040020252737284025,0.0026370751671905657
1975,73673,7155,62611,2644,339,0,Surry County,37,171,0.09711834729140933,0.849850012894819,0.0358883172939883,0.004601414358041616
1976,13981,540,9168,75,66,0,Swain County,37,173,0.03862384664902368,0.6557470853300909,0.005364423145697733,0.004720692368214005
1977,33090,964,30049,1279,143,0,Transylvania County,37,175,0.029132668479903295,0.9080991236022967,0.03865216077364763,0.004321547295255364
1978,4407,240,2350,1677,80,0,Tyrrell County,37,177,0.05445881552076242,0.5332425686407988,0.3805309734513274,0.018152938506920808
1979,201292,20967,150098,23134,3243,0,Union County,37,179,0.1041621127516245,0.7456729527253939,0.11492756791129305,0.016110923434612404
1980,45422,3051,19101,22477,199,0,Vance County,37,181,0.0671700937871516,0.42052309453568754,0.4948483113909559,0.004381136894016115
1981,900993,87922,560536,182793,48287,0,Wake County,37,183,0.09758344404451533,0.6221313595111172,0.20287948962977514,0.053593091178288844
1982,20972,692,7971,10911,49,0,Warren County,37,185,0.032996376120541675,0.3800781995041007,0.5202651153919512,0.002336448598130841
1983,13228,466,5998,6567,38,0,Washington County,37,187,0.03522830359842758,0.4534321136982159,0.49644693075294827,0.0028726942848503177
1984,51079,1713,47268,855,467,0,Watauga County,37,189,0.03353628692809178,0.925390082029797,0.016738777188276984,0.009142700522719708
1985,122623,12162,68216,38107,1405,0,Wayne County,37,191,0.09918204578260195,0.5563067287539858,0.3107655170726536,0.011457883105127097
1986,69340,3772,61587,2785,295,0,Wilkes County,37,193,0.054398615517738676,0.888188635708105,0.04016440726853187,0.004254398615517739
1987,81234,7724,40157,31462,664,0,Wilson County,37,195,0.09508333948839157,0.49433734643129723,0.38730088386636136,0.008173917325257896
