	COUNTY	NAME	ST	B00001_001E	B01001_001E	B00002_001E	B08201_001E	state	county
2678	311	McMullen County, Texas	48	110	778	84	278	48	311
2679	313	Madison County, Texas	48	1607	13838	567	4121	48	313
2680	315	Marion County, Texas	48	902	10248	514	4463	48	315
2681	317	Martin County, Texas	48	564	5252	241	1630	48	317
2682	319	Mason County, Texas	48	397	4066	283	1714	48	319
2683	321	Matagorda County, Texas	48	2234	36598	1242	13382	48	321
2684	323	Maverick County, Texas	48	3325	56548	1152	16030	48	323
2685	325	Medina County, Texas	48	3315	47392	1240	14975	48	325
2686	327	Menard County, Texas	48	277	2182	195	951	48	327
2687	329	Midland County, Texas	48	8726	151290	3340	52870	48	329
2688	331	Milam County, Texas	48	2440	24344	1130	9346	48	331
2689	333	Mills County, Texas	48	912	4875	561	1848	48	333
2690	335	Mitchell County, Texas	48	1144	9169	471	2753	48	335
2691	337	Montague County, Texas	48	2230	19478	1126	8024	48	337
2692	339	Montgomery County, Texas	48	23629	502586	9481	173238	48	339
2693	341	Moore County, Texas	48	1639	22281	632	6893	48	341
2694	343	Morris County, Texas	48	1324	12700	642	4954	48	343
2695	345	Motley County, Texas	48	246	1071	184	445	48	345
2696	347	Nacogdoches County, Texas	48	5779	65531	2419	23888	48	347
2697	349	Navarro County, Texas	48	5409	48118	2318	17477	48	349
2698	351	Newton County, Texas	48	993	14231	625	4825	48	351
2699	353	Nolan County, Texas	48	1690	15061	844	5599	48	353
2700	355	Nueces County, Texas	48	23191	352060	9421	126900	48	355
2701	357	Ochiltree County, Texas	48	916	10642	365	3696	48	357
2702	359	Oldham County, Texas	48	508	2071	231	640	48	359
2703	361	Orange County, Texas	48	6394	83217	2758	32054	48	361
2704	363	Palo Pinto County, Texas	48	2771	27921	1578	10562	48	363
2705	365	Panola County, Texas	48	2056	23900	952	8923	48	365
2706	367	Parker County, Texas	48	9320	121418	3628	42781	48	367
2707	369	Parmer County, Texas	48	1286	10004	535	3224	48	369
2708	371	Pecos County, Texas	48	1448	15807	549	4339	48	371
2709	373	Polk County, Texas	48	4184	46113	1915	17480	48	373
2710	375	Potter County, Texas	48	10277	122352	4128	43227	48	375
