,COUNTY,NAME,ST,Population,Num_household,Household_size,Age25_over,Num_pov_det,Num_in_pov,Median_hhinc,Incpc,median_rent_value,median_home_value,state,county,Pov_rate
32,065,"Hale County, Alabama",01,1726,884,5927,10271,14972,4011,32714.0,18877,270.0,87400.0,01,065,0.2679000801496126
33,067,"Henry County, Alabama",01,1734,904,6894,12213,17007,2657,41997.0,22931,381.0,96300.0,01,067,0.15622978773446228
34,069,"Houston County, Alabama",01,27690,13160,39197,70274,102504,18746,41571.0,23925,504.0,123300.0,01,069,0.1828806680714899
35,071,"Jackson County, Alabama",01,5250,2567,20431,37190,52318,9415,37745.0,20066,372.0,98900.0,01,071,0.17995718490767995
36,073,"Jefferson County, Alabama",01,47969,21812,260929,444969,644639,121029,45610.0,27240,605.0,143400.0,01,073,0.18774694053571067
37,075,"Lamar County, Alabama",01,1585,776,6138,10017,14008,3382,35450.0,20130,274.0,67900.0,01,075,0.2414334665905197
38,077,"Lauderdale County, Alabama",01,7214,3409,38612,62870,90602,16232,43125.0,24215,419.0,118600.0,01,077,0.17915719299794708
39,079,"Lawrence County, Alabama",01,3061,1378,13537,23292,33232,6225,40003.0,21369,366.0,94800.0,01,079,0.18731945113143958
40,081,"Lee County, Alabama",01,9295,3731,57171,87947,145434,34561,44570.0,24356,616.0,154300.0,01,081,0.23764044171239188
41,083,"Limestone County, Alabama",01,6189,2460,32213,61004,84736,12075,49570.0,25569,436.0,142100.0,01,083,0.142501416163142
